Word,Usage by Left-leaning Domains (%),Usage by Neutral Domains (%),Usage by Right-leaning Domains (%),# of Articles Used In
coronavirus,24.72,47.03,28.26,45442
we,28.62,43.35,28.03,31563
people,31.22,39.89,28.89,29016
us,29.67,51.68,18.66,25269
time,29.74,38.98,31.28,24012
health,31.7,43.6,24.7,23206
virus,28.24,47.06,24.69,22253
pandemic,30.53,43.81,25.66,21421
outbreak,23.73,54.93,21.34,21213
week,29.91,47.5,22.59,20423
government,28.79,44.79,26.43,19258
world,29.19,43.25,27.57,18478
covid,34.15,32.83,33.02,17649
spread,27.68,50.04,22.28,17120
cases,28.22,49.25,22.53,16661
home,35.78,33.48,30.73,15963
day,31.29,43,25.71,15911
help,29.22,44.97,25.81,15857
issues,8.2,8.31,83.49,15752
number,27.92,45,27.07,15594
crisis,30.7,43.75,25.54,15510
public,34.63,40.14,25.23,15507
work,33.3,39.67,27.03,15490
country,33.9,39.91,26.18,14624
march,27.05,55.85,17.1,14599
global,22.27,63.89,13.84,14375
historic,2.75,3.61,93.64,14044
newspaper,2.44,3.27,94.29,13948
download,1.61,0.51,97.88,13436
president,30.12,58.45,11.43,12653
china,24.43,58.38,17.18,12500
measures,26.85,45.82,27.32,12088
support,27.26,46.46,26.28,12038
working,33.01,40.22,26.77,11682
countries,26.67,53.17,20.17,11295
confirmed,26.79,41.44,31.76,11215
disease,30.95,44.28,24.77,11088
national,37.19,44.43,18.38,11019
million,25.23,56.99,17.78,10944
news,29.76,39.04,31.2,10926
social,38.39,31.43,30.18,10925
risk,30.43,45.25,24.33,10856
company,21.81,69.46,8.73,10794
uk,25.68,13.8,60.52,10712
financial,20.08,66.39,13.54,10520
reported,27.11,54.6,18.3,10440
economic,24.16,65.06,10.78,10003
medical,39.19,33.47,27.35,9840
response,36.4,44.94,18.66,9687
economy,24.25,63.39,12.36,9617
workers,36.52,42.26,21.22,9501
impact,24.61,56.19,19.2,9365
emergency,33.19,46.8,20.01,9299
market,18.43,70.04,11.53,9270
lockdown,25.52,32.51,41.98,9241
travel,28.2,49.44,22.36,9209
business,30.47,54.86,14.67,8825
deaths,28.57,48.28,23.15,8713
positive,30.16,41.01,28.84,8455
situation,33.3,37.1,29.6,8092
information,27.82,56.92,15.26,8008
companies,27.02,63.23,9.75,7947
infected,29.54,45.32,25.14,7897
past,33.32,45.16,21.51,7559
death,30.24,38.14,31.62,7540
face,36.48,32.3,31.21,7417
media,31.73,45.37,22.91,7413
trump,40.23,48,11.77,7408
markets,14.8,79.3,5.9,7392
future,24.6,46.02,29.38,7223
case,37.4,37.96,24.64,7107
family,36.87,24.99,38.14,7082
local,42.48,39.28,18.23,7059
patients,32.87,43.32,23.82,7004
hospital,37.94,32.31,29.76,6946
businesses,29.34,56.3,14.36,6936
tested,34.68,35.1,30.22,6917
symptoms,34.29,26.97,38.74,6908
increase,26.63,53.46,19.91,6852
plan,26.33,48.4,25.27,6837
billion,13.98,79.25,6.78,6568
life,41.77,24.47,33.76,6558
authorities,32.63,49.58,17.8,6541
testing,36.78,40.72,22.5,6515
cut,21.39,62.41,16.2,6489
restrictions,31.39,49.03,19.58,6480
result,25.72,47.06,27.22,6415
members,34.98,38.46,26.56,6389
warned,28.76,38.49,32.75,6381
donald,38.47,51.47,10.06,6272
italy,27.27,44,28.74,6264
money,29.42,44.12,26.46,6194
supply,22.48,68.21,9.31,6153
europe,23.68,51.51,24.81,6063
change,31.32,41.05,27.63,6054
died,34.75,37.01,28.23,6014
official,29.28,46.84,23.87,5911
distancing,43.7,30.12,26.18,5771
chinese,27.07,53.46,19.47,5733
online,35.58,37.21,27.21,5560
concerns,34.69,46.91,18.4,5472
difficult,33.91,29.89,36.2,5420
european,22.08,51.79,26.13,5393
american,42.8,45.59,11.61,5021
wuhan,30.25,45.21,24.54,3944
